Fes,X,segment,state,case_count,year,Month,Week,weekday,day,Festival,Season,Festival1
37,03-04-2017,2,HARYANA,0,2017,4,14,2,3,NA,Summer,0
38,03-04-2017,2,JHARKHAND,0,2017,4,14,2,3,NA,Summer,0
39,03-04-2017,2,KERALA,152,2017,4,14,2,3,NA,Summer,0
40,03-04-2017,2,KARNATAKA,203,2017,4,14,2,3,NA,Summer,0
41,03-04-2017,2,MAHARASHTRA,0,2017,4,14,2,3,NA,Summer,0
42,03-04-2017,2,MADHYA PRADESH,28,2017,4,14,2,3,NA,Summer,0
43,03-04-2017,2,ORISSA,233,2017,4,14,2,3,NA,Summer,0
44,03-04-2017,2,PUNJAB,0,2017,4,14,2,3,NA,Summer,0
45,03-04-2017,2,TAMIL NADU,1161,2017,4,14,2,3,NA,Summer,0
46,03-04-2017,2,TRIPURA,0,2017,4,14,2,3,NA,Summer,0
47,03-04-2017,2,UTTAR PRADESH,7,2017,4,14,2,3,NA,Summer,0
48,03-04-2017,2,WEST BENGAL,178,2017,4,14,2,3,NA,Summer,0
49,04-04-2017,2,ASSAM,0,2017,4,14,3,4,Navmi,Summer,Navmi
50,04-04-2017,2,BIHAR,0,2017,4,14,3,4,Navmi,Summer,Navmi
51,04-04-2017,2,CHHATTISGARH,109,2017,4,14,3,4,Navmi,Summer,Navmi
52,04-04-2017,2,GUJARAT,7,2017,4,14,3,4,Navmi,Summer,Navmi
53,04-04-2017,2,HARYANA,0,2017,4,14,3,4,Navmi,Summer,Navmi
54,04-04-2017,2,JHARKHAND,0,2017,4,14,3,4,Navmi,Summer,Navmi
55,04-04-2017,2,KERALA,146,2017,4,14,3,4,Navmi,Summer,Navmi
56,04-04-2017,2,KARNATAKA,398,2017,4,14,3,4,Navmi,Summer,Navmi
57,04-04-2017,2,MAHARASHTRA,0,2017,4,14,3,4,Navmi,Summer,Navmi
58,04-04-2017,2,MADHYA PRADESH,85,2017,4,14,3,4,Navmi,Summer,Navmi
59,04-04-2017,2,ORISSA,276,2017,4,14,3,4,Navmi,Summer,Navmi
60,04-04-2017,2,PUNJAB,0,2017,4,14,3,4,Navmi,Summer,Navmi
61,04-04-2017,2,TAMIL NADU,881,2017,4,14,3,4,Navmi,Summer,Navmi
62,04-04-2017,2,TRIPURA,0,2017,4,14,3,4,Navmi,Summer,Navmi
63,04-04-2017,2,UTTAR PRADESH,20,2017,4,14,3,4,Navmi,Summer,Navmi
64,04-04-2017,2,WEST BENGAL,323,2017,4,14,3,4,Navmi,Summer,Navmi
65,05-04-2017,2,ASSAM,0,2017,4,14,4,5,NA,Summer,0
66,05-04-2017,2,BIHAR,0,2017,4,14,4,5,NA,Summer,0
67,05-04-2017,2,CHHATTISGARH,97,2017,4,14,4,5,NA,Summer,0
68,05-04-2017,2,GUJARAT,44,2017,4,14,4,5,NA,Summer,0
69,05-04-2017,2,HARYANA,0,2017,4,14,4,5,NA,Summer,0
70,05-04-2017,2,JHARKHAND,0,2017,4,14,4,5,NA,Summer,0
71,05-04-2017,2,KERALA,173,2017,4,14,4,5,NA,Summer,0
72,05-04-2017,2,KARNATAKA,250,2017,4,14,4,5,NA,Summer,0
73,05-04-2017,2,MAHARASHTRA,0,2017,4,14,4,5,NA,Summer,0
74,05-04-2017,2,MADHYA PRADESH,0,2017,4,14,4,5,NA,Summer,0
75,05-04-2017,2,ORISSA,227,2017,4,14,4,5,NA,Summer,0
76,05-04-2017,2,PUNJAB,0,2017,4,14,4,5,NA,Summer,0
77,05-04-2017,2,TAMIL NADU,1142,2017,4,14,4,5,NA,Summer,0
78,05-04-2017,2,TRIPURA,0,2017,4,14,4,5,NA,Summer,0
79,05-04-2017,2,UTTAR PRADESH,39,2017,4,14,4,5,NA,Summer,0
80,05-04-2017,2,WEST BENGAL,443,2017,4,14,4,5,NA,Summer,0
81,06-04-2017,2,ASSAM,0,2017,4,14,5,6,NA,Summer,0
82,06-04-2017,2,BIHAR,0,2017,4,14,5,6,NA,Summer,0
83,06-04-2017,2,CHHATTISGARH,49,2017,4,14,5,6,NA,Summer,0
84,06-04-2017,2,GUJARAT,37,2017,4,14,5,6,NA,Summer,0
85,06-04-2017,2,HARYANA,0,2017,4,14,5,6,NA,Summer,0
86,06-04-2017,2,JHARKHAND,0,2017,4,14,5,6,NA,Summer,0
87,06-04-2017,2,KERALA,61,2017,4,14,5,6,NA,Summer,0
88,06-04-2017,2,KARNATAKA,319,2017,4,14,5,6,NA,Summer,0
89,06-04-2017,2,MAHARASHTRA,0,2017,4,14,5,6,NA,Summer,0
90,06-04-2017,2,MADHYA PRADESH,51,2017,4,14,5,6,NA,Summer,0
91,06-04-2017,2,ORISSA,329,2017,4,14,5,6,NA,Summer,0
92,06-04-2017,2,PUNJAB,0,2017,4,14,5,6,NA,Summer,0
93,06-04-2017,2,TAMIL NADU,981,2017,4,14,5,6,NA,Summer,0
94,06-04-2017,2,TRIPURA,0,2017,4,14,5,6,NA,Summer,0
95,06-04-2017,2,UTTAR PRADESH,40,2017,4,14,5,6,NA,Summer,0
96,06-04-2017,2,WEST BENGAL,512,2017,4,14,5,6,NA,Summer,0
97,07-04-2017,2,ASSAM,0,2017,4,14,6,7,NA,Summer,0
98,07-04-2017,2,BIHAR,0,2017,4,14,6,7,NA,Summer,0
99,07-04-2017,2,CHHATTISGARH,104,2017,4,14,6,7,NA,Summer,0
100,07-04-2017,2,GUJARAT,33,2017,4,14,6,7,NA,Summer,0
101,07-04-2017,2,HARYANA,0,2017,4,14,6,7,NA,Summer,0
102,07-04-2017,2,JHARKHAND,0,2017,4,14,6,7,NA,Summer,0
103,07-04-2017,2,KERALA,141,2017,4,14,6,7,NA,Summer,0
104,07-04-2017,2,KARNATAKA,339,2017,4,14,6,7,NA,Summer,0
105,07-04-2017,2,MAHARASHTRA,0,2017,4,14,6,7,NA,Summer,0
106,07-04-2017,2,MADHYA PRADESH,106,2017,4,14,6,7,NA,Summer,0
107,07-04-2017,2,ORISSA,235,2017,4,14,6,7,NA,Summer,0
108,07-04-2017,2,PUNJAB,0,2017,4,14,6,7,NA,Summer,0
109,07-04-2017,2,TAMIL NADU,876,2017,4,14,6,7,NA,Summer,0
110,07-04-2017,2,TRIPURA,0,2017,4,14,6,7,NA,Summer,0
111,07-04-2017,2,UTTAR PRADESH,31,2017,4,14,6,7,NA,Summer,0
112,07-04-2017,2,WEST BENGAL,384,2017,4,14,6,7,NA,Summer,0
113,08-04-2017,2,ASSAM,0,2017,4,14,7,8,NA,Summer,0
114,08-04-2017,2,BIHAR,0,2017,4,14,7,8,NA,Summer,0
115,08-04-2017,2,CHHATTISGARH,82,2017,4,14,7,8,NA,Summer,0
116,08-04-2017,2,GUJARAT,42,2017,4,14,7,8,NA,Summer,0
117,08-04-2017,2,HARYANA,0,2017,4,14,7,8,NA,Summer,0
118,08-04-2017,2,JHARKHAND,0,2017,4,14,7,8,NA,Summer,0
119,08-04-2017,2,KERALA,86,2017,4,14,7,8,NA,Summer,0
120,08-04-2017,2,KARNATAKA,358,2017,4,14,7,8,NA,Summer,0
121,08-04-2017,2,MAHARASHTRA,0,2017,4,14,7,8,NA,Summer,0
122,08-04-2017,2,MADHYA PRADESH,51,2017,4,14,7,8,NA,Summer,0
123,08-04-2017,2,ORISSA,314,2017,4,14,7,8,NA,Summer,0
124,08-04-2017,2,PUNJAB,0,2017,4,14,7,8,NA,Summer,0
125,08-04-2017,2,TAMIL NADU,686,2017,4,14,7,8,NA,Summer,0
126,08-04-2017,2,TRIPURA,0,2017,4,14,7,8,NA,Summer,0
127,08-04-2017,2,UTTAR PRADESH,47,2017,4,14,7,8,NA,Summer,0
128,08-04-2017,2,WEST BENGAL,631,2017,4,14,7,8,NA,Summer,0
129,09-04-2017,2,ASSAM,0,2017,4,15,1,9,NA,Summer,0
130,09-04-2017,2,BIHAR,0,2017,4,15,1,9,NA,Summer,0
131,09-04-2017,2,CHHATTISGARH,56,2017,4,15,1,9,NA,Summer,0
132,09-04-2017,2,GUJARAT,11,2017,4,15,1,9,NA,Summer,0
133,09-04-2017,2,HARYANA,0,2017,4,15,1,9,NA,Summer,0
134,09-04-2017,2,JHARKHAND,0,2017,4,15,1,9,NA,Summer,0
135,09-04-2017,2,KERALA,74,2017,4,15,1,9,NA,Summer,0
136,09-04-2017,2,KARNATAKA,152,2017,4,15,1,9,NA,Summer,0
137,09-04-2017,2,MAHARASHTRA,0,2017,4,15,1,9,NA,Summer,0
138,09-04-2017,2,MADHYA PRADESH,35,2017,4,15,1,9,NA,Summer,0
139,09-04-2017,2,ORISSA,392,2017,4,15,1,9,NA,Summer,0
140,09-04-2017,2,PUNJAB,0,2017,4,15,1,9,NA,Summer,0
141,09-04-2017,2,TAMIL NADU,249,2017,4,15,1,9,NA,Summer,0
142,09-04-2017,2,TRIPURA,0,2017,4,15,1,9,NA,Summer,0
143,09-04-2017,2,UTTAR PRADESH,8,2017,4,15,1,9,NA,Summer,0
144,09-04-2017,2,WEST BENGAL,458,2017,4,15,1,9,NA,Summer,0
145,10-04-2017,2,ASSAM,0,2017,4,15,2,10,NA,Summer,0
146,10-04-2017,2,BIHAR,0,2017,4,15,2,10,NA,Summer,0
147,10-04-2017,2,CHHATTISGARH,108,2017,4,15,2,10,NA,Summer,0
148,10-04-2017,2,GUJARAT,15,2017,4,15,2,10,NA,Summer,0
149,10-04-2017,2,HARYANA,0,2017,4,15,2,10,NA,Summer,0
150,10-04-2017,2,JHARKHAND,0,2017,4,15,2,10,NA,Summer,0
151,10-04-2017,2,KERALA,278,2017,4,15,2,10,NA,Summer,0
152,10-04-2017,2,KARNATAKA,377,2017,4,15,2,10,NA,Summer,0
153,10-04-2017,2,MAHARASHTRA,0,2017,4,15,2,10,NA,Summer,0
154,10-04-2017,2,MADHYA PRADESH,74,2017,4,15,2,10,NA,Summer,0
155,10-04-2017,2,ORISSA,766,2017,4,15,2,10,NA,Summer,0
156,10-04-2017,2,PUNJAB,0,2017,4,15,2,10,NA,Summer,0
157,10-04-2017,2,TAMIL NADU,746,2017,4,15,2,10,NA,Summer,0
158,10-04-2017,2,TRIPURA,0,2017,4,15,2,10,NA,Summer,0
159,10-04-2017,2,UTTAR PRADESH,123,2017,4,15,2,10,NA,Summer,0
160,10-04-2017,2,WEST BENGAL,679,2017,4,15,2,10,NA,Summer,0
161,11-04-2017,2,ASSAM,0,2017,4,15,3,11,NA,Summer,0
162,11-04-2017,2,BIHAR,0,2017,4,15,3,11,NA,Summer,0
163,11-04-2017,2,CHHATTISGARH,74,2017,4,15,3,11,NA,Summer,0
164,11-04-2017,2,GUJARAT,62,2017,4,15,3,11,NA,Summer,0
165,11-04-2017,2,HARYANA,0,2017,4,15,3,11,NA,Summer,0
166,11-04-2017,2,JHARKHAND,0,2017,4,15,3,11,NA,Summer,0
167,11-04-2017,2,KERALA,412,2017,4,15,3,11,NA,Summer,0
168,11-04-2017,2,KARNATAKA,598,2017,4,15,3,11,NA,Summer,0
169,11-04-2017,2,MAHARASHTRA,0,2017,4,15,3,11,NA,Summer,0
170,11-04-2017,2,MADHYA PRADESH,109,2017,4,15,3,11,NA,Summer,0
171,11-04-2017,2,ORISSA,1522,2017,4,15,3,11,NA,Summer,0
172,11-04-2017,2,PUNJAB,0,2017,4,15,3,11,NA,Summer,0
173,11-04-2017,2,TAMIL NADU,1611,2017,4,15,3,11,NA,Summer,0
174,11-04-2017,2,TRIPURA,0,2017,4,15,3,11,NA,Summer,0
175,11-04-2017,2,UTTAR PRADESH,203,2017,4,15,3,11,NA,Summer,0
176,11-04-2017,2,WEST BENGAL,1058,2017,4,15,3,11,NA,Summer,0
177,12-04-2017,2,ASSAM,0,2017,4,15,4,12,NA,Summer,0
178,12-04-2017,2,BIHAR,0,2017,4,15,4,12,NA,Summer,0
179,12-04-2017,2,CHHATTISGARH,162,2017,4,15,4,12,NA,Summer,0
180,12-04-2017,2,GUJARAT,128,2017,4,15,4,12,NA,Summer,0
181,12-04-2017,2,HARYANA,0,2017,4,15,4,12,NA,Summer,0
182,12-04-2017,2,JHARKHAND,0,2017,4,15,4,12,NA,Summer,0
183,12-04-2017,2,KERALA,754,2017,4,15,4,12,NA,Summer,0
184,12-04-2017,2,KARNATAKA,539,2017,4,15,4,12,NA,Summer,0
185,12-04-2017,2,MAHARASHTRA,0,2017,4,15,4,12,NA,Summer,0
186,12-04-2017,2,MADHYA PRADESH,171,2017,4,15,4,12,NA,Summer,0
187,12-04-2017,2,ORISSA,2125,2017,4,15,4,12,NA,Summer,0
188,12-04-2017,2,PUNJAB,0,2017,4,15,4,12,NA,Summer,0
189,12-04-2017,2,TAMIL NADU,2816,2017,4,15,4,12,NA,Summer,0
190,12-04-2017,2,TRIPURA,0,2017,4,15,4,12,NA,Summer,0
191,12-04-2017,2,UTTAR PRADESH,191,2017,4,15,4,12,NA,Summer,0
192,12-04-2017,2,WEST BENGAL,1895,2017,4,15,4,12,NA,Summer,0
193,13-04-2017,2,ASSAM,0,2017,4,15,5,13,NA,Summer,0
194,13-04-2017,2,BIHAR,0,2017,4,15,5,13,NA,Summer,0
195,13-04-2017,2,CHHATTISGARH,118,2017,4,15,5,13,NA,Summer,0
196,13-04-2017,2,GUJARAT,115,2017,4,15,5,13,NA,Summer,0
197,13-04-2017,2,HARYANA,0,2017,4,15,5,13,NA,Summer,0
198,13-04-2017,2,JHARKHAND,0,2017,4,15,5,13,NA,Summer,0
199,13-04-2017,2,KERALA,755,2017,4,15,5,13,NA,Summer,0
200,13-04-2017,2,KARNATAKA,762,2017,4,15,5,13,NA,Summer,0
201,13-04-2017,2,MAHARASHTRA,0,2017,4,15,5,13,NA,Summer,0
202,13-04-2017,2,MADHYA PRADESH,272,2017,4,15,5,13,NA,Summer,0
203,13-04-2017,2,ORISSA,2648,2017,4,15,5,13,NA,Summer,0
204,13-04-2017,2,PUNJAB,0,2017,4,15,5,13,NA,Summer,0
205,13-04-2017,2,TAMIL NADU,3193,2017,4,15,5,13,NA,Summer,0
206,13-04-2017,2,TRIPURA,0,2017,4,15,5,13,NA,Summer,0
207,13-04-2017,2,UTTAR PRADESH,148,2017,4,15,5,13,NA,Summer,0
208,13-04-2017,2,WEST BENGAL,2340,2017,4,15,5,13,NA,Summer,0
209,14-04-2017,2,ASSAM,0,2017,4,15,6,14,Good Friday,Summer,Good Friday
210,14-04-2017,2,BIHAR,0,2017,4,15,6,14,Good Friday,Summer,Good Friday
211,14-04-2017,2,CHHATTISGARH,82,2017,4,15,6,14,Good Friday,Summer,Good Friday
212,14-04-2017,2,GUJARAT,137,2017,4,15,6,14,Good Friday,Summer,Good Friday
213,14-04-2017,2,HARYANA,0,2017,4,15,6,14,Good Friday,Summer,Good Friday
214,14-04-2017,2,JHARKHAND,0,2017,4,15,6,14,Good Friday,Summer,Good Friday
215,14-04-2017,2,KERALA,148,2017,4,15,6,14,Good Friday,Summer,Good Friday
216,14-04-2017,2,KARNATAKA,878,2017,4,15,6,14,Good Friday,Summer,Good Friday
217,14-04-2017,2,MAHARASHTRA,0,2017,4,15,6,14,Good Friday,Summer,Good Friday
218,14-04-2017,2,MADHYA PRADESH,167,2017,4,15,6,14,Good Friday,Summer,Good Friday
219,14-04-2017,2,ORISSA,2654,2017,4,15,6,14,Good Friday,Summer,Good Friday
220,14-04-2017,2,PUNJAB,0,2017,4,15,6,14,Good Friday,Summer,Good Friday
221,14-04-2017,2,TAMIL NADU,1812,2017,4,15,6,14,Good Friday,Summer,Good Friday
222,14-04-2017,2,TRIPURA,0,2017,4,15,6,14,Good Friday,Summer,Good Friday
223,14-04-2017,2,UTTAR PRADESH,144,2017,4,15,6,14,Good Friday,Summer,Good Friday
224,14-04-2017,2,WEST BENGAL,2267,2017,4,15,6,14,Good Friday,Summer,Good Friday
225,15-04-2017,2,ASSAM,0,2017,4,15,7,15,NA,Summer,0
226,15-04-2017,2,BIHAR,0,2017,4,15,7,15,NA,Summer,0
227,15-04-2017,2,CHHATTISGARH,56,2017,4,15,7,15,NA,Summer,0
228,15-04-2017,2,GUJARAT,212,2017,4,15,7,15,NA,Summer,0
229,15-04-2017,2,HARYANA,0,2017,4,15,7,15,NA,Summer,0
230,15-04-2017,2,JHARKHAND,0,2017,4,15,7,15,NA,Summer,0
231,15-04-2017,2,KERALA,594,2017,4,15,7,15,NA,Summer,0
232,15-04-2017,2,KARNATAKA,710,2017,4,15,7,15,NA,Summer,0
233,15-04-2017,2,MAHARASHTRA,0,2017,4,15,7,15,NA,Summer,0
234,15-04-2017,2,MADHYA PRADESH,276,2017,4,15,7,15,NA,Summer,0
235,15-04-2017,2,ORISSA,2500,2017,4,15,7,15,NA,Summer,0
236,15-04-2017,2,PUNJAB,0,2017,4,15,7,15,NA,Summer,0
237,15-04-2017,2,TAMIL NADU,2470,2017,4,15,7,15,NA,Summer,0
238,15-04-2017,2,TRIPURA,0,2017,4,15,7,15,NA,Summer,0
239,15-04-2017,2,UTTAR PRADESH,71,2017,4,15,7,15,NA,Summer,0
240,15-04-2017,2,WEST BENGAL,1910,2017,4,15,7,15,NA,Summer,0
241,16-04-2017,2,ASSAM,0,2017,4,16,1,16,NA,Summer,0
242,16-04-2017,2,BIHAR,0,2017,4,16,1,16,NA,Summer,0
243,16-04-2017,2,CHHATTISGARH,41,2017,4,16,1,16,NA,Summer,0
244,16-04-2017,2,GUJARAT,104,2017,4,16,1,16,NA,Summer,0
245,16-04-2017,2,HARYANA,0,2017,4,16,1,16,NA,Summer,0
246,16-04-2017,2,JHARKHAND,0,2017,4,16,1,16,NA,Summer,0
247,16-04-2017,2,KERALA,279,2017,4,16,1,16,NA,Summer,0
248,16-04-2017,2,KARNATAKA,574,2017,4,16,1,16,NA,Summer,0
249,16-04-2017,2,MAHARASHTRA,0,2017,4,16,1,16,NA,Summer,0
250,16-04-2017,2,MADHYA PRADESH,159,2017,4,16,1,16,NA,Summer,0
251,16-04-2017,2,ORISSA,2345,2017,4,16,1,16,NA,Summer,0
252,16-04-2017,2,PUNJAB,0,2017,4,16,1,16,NA,Summer,0
253,16-04-2017,2,TAMIL NADU,1479,2017,4,16,1,16,NA,Summer,0
254,16-04-2017,2,TRIPURA,0,2017,4,16,1,16,NA,Summer,0
255,16-04-2017,2,UTTAR PRADESH,37,2017,4,16,1,16,NA,Summer,0
256,16-04-2017,2,WEST BENGAL,1727,2017,4,16,1,16,NA,Summer,0
257,17-04-2017,2,ASSAM,0,2017,4,16,2,17,NA,Summer,0
258,17-04-2017,2,BIHAR,0,2017,4,16,2,17,NA,Summer,0
259,17-04-2017,2,CHHATTISGARH,74,2017,4,16,2,17,NA,Summer,0
260,17-04-2017,2,GUJARAT,257,2017,4,16,2,17,NA,Summer,0
261,17-04-2017,2,HARYANA,0,2017,4,16,2,17,NA,Summer,0
262,17-04-2017,2,JHARKHAND,0,2017,4,16,2,17,NA,Summer,0
263,17-04-2017,2,KERALA,918,2017,4,16,2,17,NA,Summer,0
264,17-04-2017,2,KARNATAKA,759,2017,4,16,2,17,NA,Summer,0
265,17-04-2017,2,MAHARASHTRA,0,2017,4,16,2,17,NA,Summer,0
266,17-04-2017,2,MADHYA PRADESH,207,2017,4,16,2,17,NA,Summer,0
267,17-04-2017,2,ORISSA,2255,2017,4,16,2,17,NA,Summer,0
268,17-04-2017,2,PUNJAB,0,2017,4,16,2,17,NA,Summer,0
269,17-04-2017,2,TAMIL NADU,2809,2017,4,16,2,17,NA,Summer,0
270,17-04-2017,2,TRIPURA,0,2017,4,16,2,17,NA,Summer,0
271,17-04-2017,2,UTTAR PRADESH,133,2017,4,16,2,17,NA,Summer,0
272,17-04-2017,2,WEST BENGAL,2185,2017,4,16,2,17,NA,Summer,0
273,18-04-2017,2,ASSAM,0,2017,4,16,3,18,NA,Summer,0
274,18-04-2017,2,BIHAR,0,2017,4,16,3,18,NA,Summer,0
275,18-04-2017,2,CHHATTISGARH,103,2017,4,16,3,18,NA,Summer,0
276,18-04-2017,2,GUJARAT,381,2017,4,16,3,18,NA,Summer,0
277,18-04-2017,2,HARYANA,0,2017,4,16,3,18,NA,Summer,0
278,18-04-2017,2,JHARKHAND,0,2017,4,16,3,18,NA,Summer,0
279,18-04-2017,2,KERALA,1135,2017,4,16,3,18,NA,Summer,0
280,18-04-2017,2,KARNATAKA,1049,2017,4,16,3,18,NA,Summer,0
281,18-04-2017,2,MAHARASHTRA,0,2017,4,16,3,18,NA,Summer,0
282,18-04-2017,2,MADHYA PRADESH,243,2017,4,16,3,18,NA,Summer,0
283,18-04-2017,2,ORISSA,2393,2017,4,16,3,18,NA,Summer,0
284,18-04-2017,2,PUNJAB,0,2017,4,16,3,18,NA,Summer,0
285,18-04-2017,2,TAMIL NADU,3141,2017,4,16,3,18,NA,Summer,0
286,18-04-2017,2,TRIPURA,0,2017,4,16,3,18,NA,Summer,0
287,18-04-2017,2,UTTAR PRADESH,167,2017,4,16,3,18,NA,Summer,0
288,18-04-2017,2,WEST BENGAL,2739,2017,4,16,3,18,NA,Summer,0
289,19-04-2017,2,ASSAM,0,2017,4,16,4,19,NA,Summer,0
290,19-04-2017,2,BIHAR,0,2017,4,16,4,19,NA,Summer,0
291,19-04-2017,2,CHHATTISGARH,127,2017,4,16,4,19,NA,Summer,0
292,19-04-2017,2,GUJARAT,578,2017,4,16,4,19,NA,Summer,0
293,19-04-2017,2,HARYANA,0,2017,4,16,4,19,NA,Summer,0
294,19-04-2017,2,JHARKHAND,0,2017,4,16,4,19,NA,Summer,0
295,19-04-2017,2,KERALA,1211,2017,4,16,4,19,NA,Summer,0
296,19-04-2017,2,KARNATAKA,922,2017,4,16,4,19,NA,Summer,0
297,19-04-2017,2,MAHARASHTRA,0,2017,4,16,4,19,NA,Summer,0
298,19-04-2017,2,MADHYA PRADESH,238,2017,4,16,4,19,NA,Summer,0
299,19-04-2017,2,ORISSA,2521,2017,4,16,4,19,NA,Summer,0
300,19-04-2017,2,PUNJAB,0,2017,4,16,4,19,NA,Summer,0
301,19-04-2017,2,TAMIL NADU,3520,2017,4,16,4,19,NA,Summer,0
302,19-04-2017,2,TRIPURA,0,2017,4,16,4,19,NA,Summer,0
303,19-04-2017,2,UTTAR PRADESH,153,2017,4,16,4,19,NA,Summer,0
304,19-04-2017,2,WEST BENGAL,3040,2017,4,16,4,19,NA,Summer,0
305,20-04-2017,2,ASSAM,0,2017,4,16,5,20,NA,Summer,0
306,20-04-2017,2,BIHAR,0,2017,4,16,5,20,NA,Summer,0
307,20-04-2017,2,CHHATTISGARH,101,2017,4,16,5,20,NA,Summer,0
308,20-04-2017,2,GUJARAT,457,2017,4,16,5,20,NA,Summer,0
309,20-04-2017,2,HARYANA,0,2017,4,16,5,20,NA,Summer,0
310,20-04-2017,2,JHARKHAND,0,2017,4,16,5,20,NA,Summer,0
311,20-04-2017,2,KERALA,1566,2017,4,16,5,20,NA,Summer,0
312,20-04-2017,2,KARNATAKA,1096,2017,4,16,5,20,NA,Summer,0
313,20-04-2017,2,MAHARASHTRA,0,2017,4,16,5,20,NA,Summer,0
314,20-04-2017,2,MADHYA PRADESH,298,2017,4,16,5,20,NA,Summer,0
315,20-04-2017,2,ORISSA,2501,2017,4,16,5,20,NA,Summer,0
316,20-04-2017,2,PUNJAB,0,2017,4,16,5,20,NA,Summer,0
317,20-04-2017,2,TAMIL NADU,3052,2017,4,16,5,20,NA,Summer,0
318,20-04-2017,2,TRIPURA,0,2017,4,16,5,20,NA,Summer,0
319,20-04-2017,2,UTTAR PRADESH,216,2017,4,16,5,20,NA,Summer,0
320,20-04-2017,2,WEST BENGAL,3097,2017,4,16,5,20,NA,Summer,0
321,21-04-2017,2,ASSAM,0,2017,4,16,6,21,NA,Summer,0
322,21-04-2017,2,BIHAR,0,2017,4,16,6,21,NA,Summer,0
323,21-04-2017,2,CHHATTISGARH,67,2017,4,16,6,21,NA,Summer,0
324,21-04-2017,2,GUJARAT,456,2017,4,16,6,21,NA,Summer,0
325,21-04-2017,2,HARYANA,0,2017,4,16,6,21,NA,Summer,0
326,21-04-2017,2,JHARKHAND,0,2017,4,16,6,21,NA,Summer,0
327,21-04-2017,2,KERALA,1526,2017,4,16,6,21,NA,Summer,0
328,21-04-2017,2,KARNATAKA,906,2017,4,16,6,21,NA,Summer,0
329,21-04-2017,2,MAHARASHTRA,0,2017,4,16,6,21,NA,Summer,0
330,21-04-2017,2,MADHYA PRADESH,227,2017,4,16,6,21,NA,Summer,0
331,21-04-2017,2,ORISSA,1846,2017,4,16,6,21,NA,Summer,0
332,21-04-2017,2,PUNJAB,0,2017,4,16,6,21,NA,Summer,0
333,21-04-2017,2,TAMIL NADU,2958,2017,4,16,6,21,NA,Summer,0
334,21-04-2017,2,TRIPURA,0,2017,4,16,6,21,NA,Summer,0
